STATION_NA,longitude,latitude,cluster_25,cluster_lat,cluster_long,num_stations
CALDECOTT MRT STATION,103.8400353513785,1.33748698623184,17,1.323653604278816,103.8493640643868,8
FARRER PARK MRT STATION,103.85433720319524,1.3121610183985255,17,1.323653604278816,103.8493640643868,8
NEWTON MRT STATION,103.83811425879568,1.31276350931972,17,1.323653604278816,103.8493640643868,8
NOVENA MRT STATION,103.8438645336735,1.32049537716857,17,1.323653604278816,103.8493640643868,8
TOA PAYOH MRT STATION,103.84728463789448,1.3327412066251976,17,1.323653604278816,103.8493640643868,8
BOON LAY MRT STATION,103.70571801969118,1.3384759405295732,15,1.3345977219802627,103.69381427529288,3
JOO KOON MRT STATION,103.678582393044,1.327729097948255,15,1.3345977219802627,103.69381427529288,3
PIONEER MRT STATION,103.6971424131435,1.33758812746296,15,1.3345977219802627,103.69381427529288,3
BOTANIC GARDENS MRT STATION,103.815445525763,1.322609622642875,12,1.3234329442624997,103.8106835365604,5
FARRER ROAD MRT STATION,103.807677232633,1.31752287103387,12,1.3234329442624997,103.8106835365604,5
SIXTH AVENUE MRT STATION,103.796707130175,1.33115088569095,12,1.3234329442624997,103.8106835365604,5
STEVENS MRT STATION,103.825787797841,1.320141727991968,12,1.3234329442624997,103.8106835365604,5
TAN KAH KEE MRT STATION,103.80779999639,1.3257396139528348,12,1.3234329442624997,103.8106835365604,5
BUANGKOK MRT STATION,103.893173494484,1.383029756905055,1,1.3899554057800012,103.8875907415092,12
CHENG LIM LRT STATION,103.893802602925,1.396280094679355,1,1.3899554057800012,103.8875907415092,12
FARMWAY LRT STATION,103.889261232365,1.39716691104046,1,1.3899554057800012,103.8875907415092,12
FERNVALE LRT STATION,103.876261653892,1.3921582676261,1,1.3899554057800012,103.8875907415092,12
HOUGANG MRT STATION,103.892464384422,1.3714321765488464,1,1.3899554057800012,103.8875907415092,12
KUPANG LRT STATION,103.881138553003,1.39822149461625,1,1.3899554057800012,103.8875907415092,12
LAYAR LRT STATION,103.880151264831,1.3920853547732,1,1.3899554057800012,103.8875907415092,12
RANGGUNG LRT STATION,103.897272830936,1.38414063473751,1,1.3899554057800012,103.8875907415092,12
