STATION_NA,EXIT_CODE,longitude,latitude
BUANGKOK MRT STATION,Exit A,103.892883836731,1.3834097909899
TELOK AYER MRT STATION,Exit B,103.84877332816,1.28249727503873
ONE-NORTH MRT STATION,Exit D,103.787784810554,1.30007470288421
KENT RIDGE MRT STATION,Exit C,103.784490451682,1.29398478516701
KENT RIDGE MRT STATION,Exit D,103.784534656639,1.29321880284117
LITTLE INDIA MRT STATION,Exit D,103.848999982241,1.30685473719087
BUKIT PANJANG MRT STATION,Exit A,103.762034360871,1.37876623763886
CHOA CHU KANG MRT STATION,Exit A,103.744560000291,1.38539999996952
CHOA CHU KANG MRT STATION,Exit B,103.744470000052,1.38459999970902
CHOA CHU KANG MRT STATION,Exit C,103.74447000019,1.38572999956458
CHOA CHU KANG MRT STATION,Exit D,103.744110000392,1.38536999970775
CHOA CHU KANG LRT STATION,Exit E,103.744620000447,1.38499999972745
GUL CIRCLE MRT STATION,Exit A,103.660444143859,1.31903226656851
GUL CIRCLE MRT STATION,Exit B,103.659434945517,1.31883718313345
TUAS CRESCENT MRT STATION,Exit A,103.648958741267,1.32076381711222
TUAS CRESCENT MRT STATION,Exit B,103.649286789109,1.32124359639868
TUAS WEST ROAD MRT STATION,Exit A,103.639284344709,1.32987242413926
TUAS WEST ROAD MRT STATION,Exit B,103.639790711295,1.33018233023207
TUAS LINK MRT STATION,Exit A,103.637245720022,1.34042689920514
TUAS LINK MRT STATION,Exit B,103.636840667474,1.34094007226858
EXPO MRT STATION,Exit C,103.962161021864,1.33595097171569
EXPO MRT STATION,Exit D,103.963100681762,1.33483488834327
MACPHERSON MRT STATION,Exit E,103.888615211677,1.32619277755048
EXPO MRT STATION,Exit E,103.962123376874,1.33486331350548
MACPHERSON MRT STATION,Exit D,103.888454834376,1.32514545867968
EXPO MRT STATION,Exit G,103.963049007432,1.33501932038682
EXPO MRT STATION,Exit A,103.961836795084,1.33548282216596
EXPO MRT STATION,Exit F,103.96286574628,1.33471194824107
SPRINGLEAF MRT STATION,Exit 2,103.818390607138,1.39782080405751
SPRINGLEAF MRT STATION,Exit 3,103.818081623801,1.39768417887856
WOODLANDS NORTH MRT STATION,Exit 1,103.785429080675,1.44793650249651
WOODLANDS NORTH MRT STATION,Exit 2,103.785102271425,1.44904729970725
WOODLANDS MRT STATION,Exit 5,103.788964328113,1.43584393593589
WOODLANDS MRT STATION,Exit 7,103.787976768822,1.43449552583778
WOODLANDS SOUTH MRT STATION,Exit 1,103.793027463346,1.4273020172478
WOODLANDS SOUTH MRT STATION,Exit 2,103.793413692732,1.42760496413455
WOODLANDS SOUTH MRT STATION,Exit 3,103.794560497858,1.42742676003562
WOODLANDS SOUTH MRT STATION,Exit 4,103.794423831787,1.42668424080276
SPRINGLEAF MRT STATION,Exit 1,103.818003414954,1.39878724836535
LENTOR MRT STATION,Exit 2,103.835823452024,1.38589099008684
LENTOR MRT STATION,Exit 1,103.835359976701,1.38540982990749
