school_name,address,postal_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,latitude,longitude,cluster
CHIJ KATONG CONVENT,346 MARINE TERRACE,449150,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,False,True,False,False,1.30644268034894,103.917144350028,2
CHIJ OUR LADY OF GOOD COUNSEL,2C Burghley Drive,558979,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.35742952269615,103.864009397373,2
CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD,534793,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.37330297140128,103.897575728303,2
CHIJ OUR LADY QUEEN OF PEACE,4 Chestnut Drive,679287,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.366603668561,103.767412204602,5
CHIJ PRIMARY (TOA PAYOH),628 Lorong 1 Toa Payoh,319765,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.33275264711587,103.841847263786,2
CHIJ SECONDARY (TOA PAYOH),626 LORONG 1 TOA PAYOH,319764,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,False,True,False,False,1.33246079948303,103.843271625083,2
CHIJ ST. JOSEPH'S CONVENT,62 SENGKANG EAST WAY,548595,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.39175222260369,103.902464991543,3
CHIJ ST. NICHOLAS GIRLS' SCHOOL,501 ANG MO KIO STREET 13,569405,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,MIXED LEVELS,True,True,False,True,1.37347687878916,103.834253269436,2
CHIJ ST. THERESA'S CONVENT,160 LOWER DELTA ROAD,99138,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.33436225327519,103.966495566543,6
CHONGFU SCHOOL,170 YISHUN AVENUE 6,768959,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.43839562897006,103.839309173817,7
CHONGZHENG PRIMARY SCHOOL,1 TAMPINES STREET 21,529392,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.35061130568554,103.951317297552,6
CHRIST CHURCH SECONDARY SCHOOL,20 WOODLANDS DRIVE 17,737924,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.42656780901455,103.793451105242,7
